Notable companies,,,,,,,,,,,,,
Name,Industry,Sector,Headquarters,Founded,Notes,,,,,,,,
Feicheng Acid Chemicals,Basic materials,Specialty chemicals,Feicheng,1994,Chemicals,,,,,,,,
Feiyue,Consumer goods,Footwear,Shanghai,1920,Shoes,,,,,,,,
Founder Group,Technology,Computer services,Beijing,1986,"Information technology, part of Peking University",,,,,,,,
Fushi Copperweld,Industrials,Electronic equipment,Beijing,1915,Electrical conductors,,,,,,,,
GAC Group,Consumer goods,Automobiles,Guangzhou,1997,State-owned automotive,,,,,,,,
Geely,Consumer goods,Automobiles,Hangzhou,1986,Automobiles,,,,,,,,
Gome,Consumer services,Specialty retailers,Beijing,1987,Appliance retailer,,,,,,,,
Great Leap Brewing,Consumer goods,Brewers,Beijing,2010,Microbrewery,,,,,,,,
Gree Electric,Consumer goods,Durable household products,Zhuhai,1989,Appliances,,,,,,,,
GreenTree Inns,Consumer services,Hotels,Shanghai,2004,Hotel chain,,,,,,,,
Guangzhou Zhujiang Brewery Group,Consumer goods,Brewers,Guangzhou,1985,Brewery,,,,,,,,
Gushan Environmental Energy,Oil & gas,Exploration & production,Fuzhou,2001,Energy,,,,,,,,
Hafei,Industrials,Electronic equipment,Harbin,1950,"Engines, trucks",,,,,,,,
Haier,Consumer goods,Durable household products,Qingdao,1984,"Consumer electronics, home appliances",,,,,,,,
Hainan Airlines,Consumer services,Airlines,Haikou,1993,Airline,,,,,,,,
Hangzhou Wahaha Group,Consumer goods,Soft drinks,Hangzhou,1987,Beverages,,,,,,,,
Harbin Brewery,Consumer goods,Brewers,Harbin,1900,Brewery,,,,,,,,
Hasee,Consumer goods,Consumer electronics,Shenzhen,1995,"Computers, tablets, mobile phones",,,,,,,,
Hefei Meiling,Consumer goods,Durable household products,Hefei,1992,Appliances,,,,,,,,
Hisense,Consumer goods,Consumer electronics,Qingdao,1969,"Consumer electronics, home appliances, mobile phones",,,,,,,,
HiSilicon,Technology,Semiconductors,Shenzhen,2004,"Semiconductors, part of Huawei",,,,,,,,
Huawei,Consumer goods,Consumer electronics,Shenzhen,1987,"Mobile phones, tablets, telecommunication equipment",,,,,,,,
Huayi Brothers Media Corporation,Consumer services,Broadcasting & entertainment,Beijing,1994,Media,,,,,,,,
Huiyuan Juice,Consumer goods,Soft drinks,Beijing,1992,Privately owned juice and beverage,,,,,,,,
Hytera,Industrials,Electronic equipment,Shenzhen,1993,Radios and telecommunications,,,,,,,,
Industrial and Commercial Bank of China,Financials,Banks,Beijing,1984,Commercial bank,,,,,,,,
Inspur,Technology,Computer services,Jinan,2000,IT,,,,,,,,
