country_iso_3166-1_alpha-2;country_name;company_name;string_match
CN;China;Sichuan Airlines;Sichuan Airlines
CN;China;Simcere Pharmaceutical;Simcere Pharmaceutical
CN;China;Sinoenergy;Sinoenergy
CN;China;Sinopec;Sinopec
CN;China;Sinopharm Group;Sinopharm Group
CN;China;Sinosteel;Sinosteel
CN;China;Sinovac Biotech;Sinovac Biotech
CN;China;Skyworth;Skyworth
CN;China;SmithStreetSolutions;SmithStreetSolutions
CN;China;State Grid Corporation of China;State Grid Corporation of China
CN;China;Suning Commerce Group;Suning Commerce Group
CN;China;Suntech Power;Suntech Power
CN;China;Suzhou Synta Optical Technology;Suzhou Synta Optical Technology
CN;China;TCL Corporation;TCL Corporation
CN;China;Telesail Technology;Telesail Technology
CN;China;Tencent;Tencent
CN;China;Tianan Insurance;Tianan Insurance
CN;China;Tianjin FAW;Tianjin FAW
CN;China;Tongrentang;Tongrentang
CN;China;Topray Solar;Topray Solar
CN;China;TP-Link;TP-Link
CN;China;Trands;Trands
CN;China;Tsingtao Brewery;Tsingtao Brewery
CN;China;Vanke;Vanke
CN;China;Vinda International;Vinda International
CN;China;Vsun;Vsun
CN;China;Wanda Group;Wanda Group
CN;China;WuXi PharmaTech;WuXi PharmaTech
CN;China;Xi'an Aircraft Industrial Corporation;Xi'an Aircraft Industrial Corporation
CN;China;Xiaomi;Xiaomi
CN;China;Yili Group;Yili Group
CN;China;Yonyou;Yonyou
CN;China;Yutong Group;Yutong Group
CN;China;Zhongjin Gold;Zhongjin Gold
CN;China;Zhongjin Lingnan;Zhongjin Lingnan
CN;China;Zoomlion;Zoomlion
CN;China;ZTE;ZTE
CN;China;ZX Auto;ZX Auto
